Club,Player Name,Position,Status,Resting Heart Rate (bpm),Max Heart Rate (bpm),HRV (ms),VO2 Max (ml/kg/min),Weight (kg),Reaction Time (ms),Match Consistency Variance,Minutes Played,Injury Frequency,Recovery Time (weeks),Training Hours,Heart Rate Zone,Fatigue Score,Injury Risk,Readiness Score,Player ID,League,Team
Liverpool,Player_Liv_9,Defender,Optimal,63,179,85.9909473057105,30.9611784839407,88.4743719477416,288.668038729805,0.204357449336686,2905,0,0,16.2585991571424,Zone 1 (Rest),109.723534124345,0.0,4.03831936609265,34,Premier League,Liverpool
Liverpool,Player_Liv_10,Midfielder,At Risk,77,194,87.3585507759256,52.3170232877983,88.3167481368227,488.850319425034,1.367198933555,659,3,5,7.8773708893794,Zone 1 (Rest),14.5914191914346,1.16252760007054,64.4763684908708,35,Premier League,Liverpool
Liverpool,Player_Liv_11,Midfielder,At Risk,70,190,92.4481670694401,56.4127895148791,78.7781901030472,464.085368754254,1.15148477185779,1566,1,3,5.19481566155117,Zone 1 (Rest),30.1268799631413,0.832897474312648,62.4916192743042,36,Premier League,Liverpool
Liverpool,Player_Liv_12,Midfielder,At Risk,70,197,75.4158648386226,53.6322733794558,70.2187370839272,352.138905647181,0.996037454293406,1325,1,3,8.14471423389942,Zone 1 (Rest),32.9600887944047,0.651210544922434,48.775659605925696,37,Premier League,Liverpool
Liverpool,Player_Liv_13,Forward,Optimal,58,170,98.7032220608099,50.9594376649618,72.7041282692436,256.852028374996,0.330369830103234,2098,0,0,14.1261767691143,Zone 1 (Rest),41.9917430348356,0.0,63.3358333476095,38,Premier League,Liverpool
Liverpool,Player_Liv_14,Midfielder,Optimal,57,172,97.2302930241426,57.1682550368602,72.8698208212506,275.08710677915,0.401817149633873,2872,0,0,13.7772888617629,Zone 1 (Rest),51.916604463601,0.0,59.5825253473267,39,Premier League,Liverpool
Liverpool,Player_Liv_15,Forward,At Risk,78,202,95.820929139848,47.7840335746833,60.325129544409,481.076395283853,0.591286676786134,954,2,5,7.86718944061643,Zone 1 (Rest),21.0073816733782,0.928577281929591,60.691871802551,40,Premier League,Liverpool
Liverpool,Player_Liv_16,Defender,Optimal,54,184,84.0976370360448,41.074061046916,66.3818368507269,294.619454288169,0.412518420188481,2038,0,0,10.9120610304869,Zone 1 (Rest),59.3160034110276,0.0,35.7911384086593,41,Premier League,Liverpool
Liverpool,Player_Liv_17,Midfielder,Underperforming,63,194,89.4814222716404,50.9183154032998,81.1749445163608,493.730388794827,1.18803001017504,1453,1,0,5.50561338061395,Zone 1 (Rest),32.0111443380205,0.20298381508074,55.8704089365566,42,Premier League,Liverpool
Liverpool,Player_Liv_18,Defender,At Risk,77,199,75.8660640781701,47.837938175535506,64.3981446507608,402.665233738479,0.733228072424528,1888,1,7,9.06399783628751,Zone 1 (Rest),52.2711404273207,1.16338280430817,35.89591046552,43,Premier League,Liverpool
Liverpool,Player_Liv_19,Defender,Underperforming,62,193,74.0087298680125,44.163623911664,74.4500096389235,375.597518024451,1.20508436429666,1213,2,0,6.65126264509549,Zone 1 (Rest),37.315392657505,0.406296374606811,41.8947985088971,44,Premier League,Liverpool
Liverpool,Player_Liv_20,Forward,At Risk,82,207,78.7464256797651,41.1260655136367,63.5645374880422,323.505249355421,1.14921030211606,1524,3,10,6.87435289761852,Zone 1 (Rest),47.2706456391056,2.40148942791121,35.0733553402397,45,Premier League,Liverpool
Liverpool,Player_Liv_21,Forward,Optimal,50,187,77.4534332642622,56.0421849805347,89.3370200626281,255.600503864258,0.229074555311034,2079,0,0,15.277011090863,Zone 1 (Rest),48.2478974971103,0.0,45.5870164426132,46,Premier League,Liverpool
Liverpool,Player_Liv_22,Defender,Underperforming,53,192,87.8164449242659,31.5086909417954,64.9864629572776,343.361821317298,0.79449394683943,1896,2,0,7.9215715596155,Zone 1 (Rest),68.8086191522459,0.287503273776276,26.3106857884455,47,Premier League,Liverpool
Liverpool,Player_Liv_23,Goalkeeper,Recovering,60,201,58.7610722222354,31.1572779551541,84.8630449652032,321.351213187177,0.835660064796963,1645,2,9,6.76676114013026,Zone 1 (Rest),90.2193101428694,2.76644555008416,-0.149731326109412,48,Premier League,Liverpool
Liverpool,Player_Liv_24,Forward,Optimal,54,185,99.4484297791841,53.9632342803949,76.0828909903236,230.952761628633,0.42551800788278,2731,0,0,12.7095764251513,Zone 1 (Rest),51.1260496695673,0.0,55.2895212918982,49,Premier League,Liverpool
Liverpool,Player_Liv_25,Forward,Underperforming,62,195,97.991996531677,54.5143901677672,78.4024558780737,383.648607258124,1.43272848335401,1765,3,0,5.22609335053095,Zone 1 (Rest),33.1380518849919,0.585805554759288,61.2145306740781,50,Premier League,Liverpool
Manchester United,Player_Mans_1,Defender,At Risk,75,190,79.2148032746542,49.7057210133101,71.3021690981382,449.915659995214,0.892989448978859,1326,3,2,9.19164352355569,Zone 1 (Rest),33.9102412632269,0.68670543302517,50.0054121182828,51,Premier League,Manchester United
Manchester United,Player_Mans_2,Midfielder,Optimal,64,150,60.5468785930799,41.5071812070492,80.7514319150674,253.434627502946,0.399964299787989,2770,0,0,15.5543170560263,Zone 1 (Rest),110.840029264247,0.0,-5.85731297607858,52,Premier League,Manchester United
Manchester United,Player_Mans_3,Forward,Recovering,59,199,41.3355164782736,44.8216966465926,66.1513598551958,350.28848790236,0.774731797025909,1969,1,2,8.78499566086114,Zone 1 (Rest),106.749885394395,0.826145106945671,-10.3480765173512,53,Premier League,Manchester United
Manchester United,Player_Mans_4,Midfielder,Optimal,57,188,86.862927823712,50.4061540180759,83.1695517520692,252.016350111199,0.440872600127416,2053,0,0,19.6797376543982,Zone 1 (Rest),47.3384655041017,0.0,47.8354342221735,54,Premier League,Manchester United
Manchester United,Player_Mans_5,Midfielder,Recovering,58,206,34.0204568535192,40.5756535262668,82.6541176702086,424.061910270693,1.20407976809922,934,3,7,8.08631856048646,Zone 1 (Rest),68.2472304610551,3.63503847725957,3.08198054307324,55,Premier League,Manchester United
Manchester United,Player_Mans_6,Defender,Optimal,51,167,75.6897618039893,48.7494984404746,87.1247608348125,234.82554670233,0.305595795663924,2983,0,0,19.1047127840327,Zone 1 (Rest),81.3614249131264,0.0,25.7951109768488,56,Premier League,Manchester United
Manchester United,Player_Mans_7,Defender,At Risk,72,206,97.9808249463057,42.9414696185808,87.7976287548448,398.423258615908,0.758244388298958,1483,1,3,8.10402842211046,Zone 1 (Rest),35.4396927712354,0.503753346425237,51.2051465017724,57,Premier League,Manchester United
Manchester United,Player_Mans_8,Midfielder,Optimal,60,160,63.0345331243466,42.577594438213,63.8413751687332,215.190269351229,0.155530869059764,2519,0,0,11.800672723493,Zone 1 (Rest),94.2970876489442,0.0,7.07189994600966,58,Premier League,Manchester United
Manchester United,Player_Mans_9,Defender,Optimal,52,181,78.9584656105149,43.3511547704205,79.3079967800408,219.228901880867,0.116347446506592,2004,0,0,13.4508262782239,Zone 1 (Rest),58.9391118583245,0.0,35.0113306754756,59,Premier League,Manchester United
Manchester United,Player_Mans_10,Midfielder,Optimal,54,155,64.825434844024,49.2155753606545,66.1900115521738,236.426986104808,0.301366908341943,2812,0,0,13.2158276468003,Zone 1 (Rest),88.5530706526653,0.0,16.4438319690408,60,Premier League,Manchester United
Manchester United,Player_Mans_11,Midfielder,Recovering,58,204,45.3497104064178,43.139553654323905,71.3185789572622,300.519004876729,1.36830110703559,507,1,4,5.92260509678189,Zone 1 (Rest),26.2181276685362,1.8615843112221,30.5250668589243,61,Premier League,Manchester United
Manchester United,Player_Mans_12,Defender,At Risk,77,203,84.7301908612118,37.3782727913954,73.8760414839944,449.49418762675106,0.536683202890598,1835,3,8,8.43582752701666,Zone 1 (Rest),58.2063826317214,1.53895814532523,31.4788576457565,62,Premier League,Manchester United
Manchester United,Player_Mans_13,Defender,At Risk,84,202,94.6885992429889,37.0829334158625,71.9149149751225,320.973833306496,1.23740520609382,527,2,8,6.61039582791589,Zone 1 (Rest),15.1968126229424,1.59762497994023,57.7102574435193,63,Premier League,Manchester United
Manchester United,Player_Mans_14,Defender,Optimal,63,174,95.6210912295958,41.871849071081,80.3730695743347,278.917123860734,0.299376879571623,2110,0,0,15.8419948471417,Zone 1 (Rest),53.095186010656,0.0,48.5044564885177,64,Premier League,Manchester United
Manchester United,Player_Mans_15,Midfielder,At Risk,77,197,77.2663818491872,42.5516060559113,68.5132771739617,372.616459279727,1.1459172413316,1966,3,7,8.02887409678444,Zone 1 (Rest),60.0408688325823,1.61196191341618,30.3437152652367,65,Premier League,Manchester United
Manchester United,Player_Mans_16,Forward,Optimal,54,155,74.6142727869623,49.7561960161748,85.5245255350844,208.788762454014,0.422345954696457,2663,0,0,18.9676542462643,Zone 1 (Rest),72.2411174398885,0.0,33.6318395891926,66,Premier League,Manchester United
Manchester United,Player_Mans_17,Defender,Optimal,64,189,87.8784584946569,49.9451106953679,86.8983078892206,257.599841780566,0.466958245234213,2846,0,0,18.1707207094928,Zone 1 (Rest),65.2564569773779,0.0,38.395297467008895,67,Premier League,Manchester United
Manchester United,Player_Mans_18,Forward,At Risk,75,208,92.8344589261341,54.3691454167311,76.0511019613473,395.323896825282,1.33858255870262,825,2,7,8.55476239418374,Zone 1 (Rest),16.5147658237867,1.1332490072005,62.8311723649416,68,Premier League,Manchester United
Manchester United,Player_Mans_19,Goalkeeper,At Risk,70,201,64.5934729895681,42.2124008488327,82.2157638310064,416.247644284522,0.654362715274202,1344,3,4,5.25911768411214,Zone 1 (Rest),49.4842135158063,2.060613377721,28.5182389664649,69,Premier League,Manchester United
Manchester United,Player_Mans_20,Midfielder,At Risk,74,199,99.5984092955978,46.4470768994945,84.2962333756391,350.928130952753,1.18150272222393,1284,1,9,8.03050940527919,Zone 1 (Rest),27.929424017105,1.25027199260995,59.3548051145665,70,Premier League,Manchester United
Manchester United,Player_Mans_21,Defender,Optimal,50,154,93.2247763115092,49.300538213330306,63.7289167045663,273.086747520364,0.475336182728415,2587,0,0,13.792285849638,Zone 1 (Rest),56.587780189929106,0.0,55.8035937239678,71,Premier League,Manchester United
Manchester United,Player_Mans_22,Forward,Recovering,55,197,54.8382266153248,55.0100384953063,83.9861139275855,465.02653533856,0.686404986788144,1350,3,11,9.53933065231258,Zone 1 (Rest),45.067806936226305,2.676250313585,32.8834813068045,72,Premier League,Manchester United
Manchester United,Player_Mans_23,Forward,Recovering,58,207,54.497983184147294,48.7826981714044,71.3083328827472,392.535957133921,0.801377874164142,1546,3,2,6.16106347573409,Zone 1 (Rest),58.3835551244499,1.48913438045484,21.6894329618849,73,Premier League,Manchester United
Manchester United,Player_Mans_24,Forward,Optimal,51,163,62.6647644956327,44.5805078184959,76.2854793184023,243.152814313644,0.233126314364994,2178,0,0,13.3490561465709,Zone 1 (Rest),78.4410029570941,0.0,17.6713308938862,74,Premier League,Manchester United
Manchester United,Player_Mans_25,Goalkeeper,Optimal,64,178,79.8169450561586,44.8292182227809,89.3287712314347,299.769261592384,0.400961248015529,2996,0,0,17.7857193905075,Zone 1 (Rest),84.2279254357983,0.0,22.7068751927759,75,Premier League,Manchester United
Chelsea,Player_Che_1,Forward,Optimal,55,151,90.4983474296276,57.535312735235,70.2624524614772,282.125730467201,0.144252694782083,2227,0,0,14.5700021928168,Zone 1 (Rest),43.0503988329499,0.0,69.5253386304058,76,Premier League,Chelsea
Chelsea,Player_Che_3,Midfielder,Optimal,54,169,67.263908672057,58.1690112266726,77.5017538429836,240.085141676364,0.284802321457653,2301,0,0,16.1495026315265,Zone 1 (Rest),59.2216186591408,0.0,39.1782847571531,78,Premier League,Chelsea
Chelsea,Player_Che_4,Midfielder,At Risk,83,207,84.4581694173859,40.3622036764168,86.1637172683246,486.423656496723,1.06513318358921,1847,1,9,5.11511302393819,Zone 1 (Rest),54.3314682852334,2.31474471681732,34.0526110186325,79,Premier League,Chelsea
Chelsea,Player_Che_5,Defender,Optimal,61,180,84.2686018553142,38.4826134260477,82.0933270687417,293.436701476902,0.470227405162711,2406,0,0,11.2281078184573,Zone 1 (Rest),74.5396396929446,0.0,26.7842086602319,80,Premier League,Chelsea
Chelsea,Player_Che_6,Forward,Underperforming,63,193,64.9865072481307,58.4168376523474,86.0968908618638,403.767611425214,1.09127543574493,1160,3,0,5.27380819411016,Zone 1 (Rest),30.6949369584471,0.875333859255427,48.0354445295498,81,Premier League,Chelsea
Chelsea,Player_Che_7,Forward,Optimal,58,175,73.3399668676458,47.9633738718189,76.1218680881377,291.985561641276,0.238538397746385,2209,0,0,14.8083697808907,Zone 1 (Rest),63.2188987177133,0.0,33.1911097267151,82,Premier League,Chelsea
Chelsea,Player_Che_8,Defender,At Risk,80,201,96.5099785151652,34.964528855143,77.3289586227464,333.102663485595,0.533879160246595,1684,1,7,6.10048607040549,Zone 1 (Rest),50.08557075574151,1.35879308560699,40.4920082659536,83,Premier League,Chelsea
Chelsea,Player_Che_9,Midfielder,At Risk,76,206,98.4428126987782,42.9732545550623,72.4387237118107,317.069933615729,1.49687425184595,1060,3,2,6.54968463134305,Zone 1 (Rest),25.2115084933181,0.775471071558506,56.4099799808361,84,Premier League,Chelsea
Chelsea,Player_Che_10,Midfielder,Recovering,60,208,40.48160997148,49.3646365688276,78.7492796115316,375.545189488034,1.33656481329233,1542,2,2,8.87763808347505,Zone 1 (Rest),77.6075214701451,1.11302464050057,5.88400243757814,85,Premier League,Chelsea
Chelsea,Player_Che_11,Defender,At Risk,75,206,76.030522435013,41.1928066261644,64.6572073779214,336.385626099054,1.36178562101352,1299,2,11,9.48715204909442,Zone 1 (Rest),41.779198568433,1.80226860132709,36.6233643168662,86,Premier League,Chelsea
Chelsea,Player_Che_12,Midfielder,At Risk,76,207,94.6797504004609,48.159689907296894,76.5516778577802,350.777712808661,0.696113099693453,827,2,10,8.99958042686595,Zone 1 (Rest),18.3343396785346,1.40832172621317,60.1473916083204,87,Premier League,Chelsea
Chelsea,Player_Che_13,Defender,Recovering,61,204,51.6243928893152,46.1062993471581,89.6618634586633,420.639480435396,1.30685014896259,951,1,7,6.02492147707911,Zone 1 (Rest),40.2075882887037,2.57207506144802,28.1975999743969,88,Premier League,Chelsea
Chelsea,Player_Che_14,Defender,Optimal,51,156,85.3296309964384,44.71809226392,85.4438428640065,212.277688966271,0.450577630350118,2284,0,0,14.214245505925,Zone 1 (Rest),60.2292391681145,0.0,44.7554385206692,89,Premier League,Chelsea
Chelsea,Player_Che_15,Midfielder,Underperforming,54,209,73.4346342859934,56.5021466284532,70.8917763658527,306.845622164106,1.33065450656525,1304,2,0,8.8691726160067,Zone 1 (Rest),31.6413909387427,0.307076054485919,47.0312870697148,90,Premier League,Chelsea
Chelsea,Player_Che_16,Forward,At Risk,81,192,97.9381322784863,55.2721158831952,64.2033952729936,473.69359517958304,0.987431198249514,627,1,3,5.11234654160059,Zone 1 (Rest),11.6771367261122,0.798891662693184,73.7151622060257,91,Premier League,Chelsea
Chelsea,Player_Che_17,Midfielder,Recovering,51,202,42.0765013079094,44.3604621498817,79.3516250330799,384.340786910656,0.63227621112533,528,1,3,6.36153663259685,Zone 1 (Rest),28.6285602306952,1.49437068075438,28.6180213995524,92,Premier League,Chelsea
Chelsea,Player_Che_18,Defender,Recovering,54,199,47.2954942654276,35.4811044137441,76.6253400754738,430.284077670373,1.3297418037072,841,1,10,6.33249196685441,Zone 1 (Rest),50.4936728871884,3.67280836737355,16.222575774866,93,Premier League,Chelsea
Chelsea,Player_Che_19,Defender,At Risk,81,202,86.6014669818502,33.507425572469,87.4323583777488,383.754104978415,0.883138528249498,1133,2,3,5.8314168437804,Zone 1 (Rest),39.2457948287955,0.990080868376617,40.031236497784,94,Premier League,Chelsea
Chelsea,Player_Che_20,Defender,Optimal,54,185,90.8394370214191,31.3649941070818,85.1123697210909,243.719339635724,0.466205470916766,2186,0,0,12.9712171562318,Zone 1 (Rest),77.1791338814025,0.0,24.3379985119451,95,Premier League,Chelsea
Chelsea,Player_Che_21,Defender,Underperforming,56,204,98.1634774615853,32.7000255484241,74.5126482579724,353.982244478439,1.03984277890819,1990,3,0,9.20764830155022,Zone 1 (Rest),62.2816167337134,0.331911727184664,33.6185717040667,96,Premier League,Chelsea
Chelsea,Player_Che_22,Forward,At Risk,82,200,73.3697556326784,55.4182440749164,63.1979475940132,315.027556347162,1.2281887562036,1740,1,9,7.17413669301873,Zone 1 (Rest),42.9700994261972,1.89982360806497,42.9089501406988,97,Premier League,Chelsea
Chelsea,Player_Che_23,Defender,Optimal,51,186,60.0935756250311,49.3539877641417,60.1576145567516,210.309374601375,0.225838622723764,2954,0,0,19.1731357546224,Zone 1 (Rest),100.246658493076,0.0,4.94672306241782,98,Premier League,Chelsea
Chelsea,Player_Che_25,Forward,At Risk,80,198,97.7623735874645,40.788536227370095,81.1672551754707,485.049663483133,0.680575345127334,1480,2,11,6.56427428252794,Zone 1 (Rest),37.279822337531506,2.02574555953037,51.1470138774258,100,Premier League,Chelsea
Arsenal,Player_Ars_1,Defender,At Risk,78,208,96.9758478150612,49.4211649033074,88.327994673403,394.842843331493,1.36204265098931,1434,3,3,7.61217288035584,Zone 1 (Rest),30.0795876075641,0.812791254921048,55.9218389955791,101,Premier League,Arsenal
Arsenal,Player_Ars_2,Defender,Optimal,64,173,69.2003534915081,32.4113377155456,62.3085960488763,269.628877587814,0.235949985507226,2182,0,0,14.0448544968185,Zone 1 (Rest),97.9120035175009,0.0,2.13854779742934,102,Premier League,Arsenal
Arsenal,Player_Ars_3,Defender,Optimal,50,153,91.6289265935586,36.3750500586414,78.7767412931103,288.597774823619,0.346345275272922,2893,0,0,14.1750608402789,Zone 1 (Rest),87.223796486539,0.0,26.6537125265758,103,Premier League,Arsenal
Arsenal,Player_Ars_4,Defender,Recovering,63,202,45.8681140208164,48.7813539702579,83.96349707321,499.58682210666706,0.85071181545171,1457,1,6,7.39890663428252,Zone 1 (Rest),65.4477411734306,2.06262182851681,14.4563004047741,104,Premier League,Arsenal
Arsenal,Player_Ars_7,Forward,Optimal,55,188,95.1647323024866,58.8946404458282,74.0220453374961,261.341138921071,0.16681357843683,2563,0,0,10.6498640948289,Zone 1 (Rest),45.9195535864504,0.0,57.521180405247,107,Premier League,Arsenal
Arsenal,Player_Ars_8,Forward,Underperforming,64,208,80.5075404406603,34.6133962343552,79.4132008001377,344.097241814035,0.686438262144255,758,2,0,9.00384843564938,Zone 1 (Rest),27.5243308921388,0.27590861491835,42.1137527802292,108,Premier League,Arsenal
Arsenal,Player_Ars_9,Midfielder,Underperforming,50,198,97.1100913278085,59.8981564529287,65.2168574765846,379.248403780532,1.25823847570409,561,1,0,5.76947953169928,Zone 1 (Rest),9.74380619158444,0.17848388087736,74.3759806005822,109,Premier League,Arsenal
Arsenal,Player_Ars_10,Goalkeeper,At Risk,82,204,61.394606409353,47.8984288245568,87.5031704104481,391.486419554742,0.89116976608038,1134,1,10,5.22188331766618,Zone 1 (Rest),38.7397515741635,3.43111521992576,34.5849429704639,110,Premier League,Arsenal
Arsenal,Player_Ars_11,Midfielder,Recovering,58,204,49.6572594191707,51.0171474121828,62.609602797342305,381.69064261414,0.872688517012314,827,3,6,5.24391790836587,Zone 1 (Rest),32.8512357687522,3.45623988695681,33.2466524816673,111,Premier League,Arsenal
Arsenal,Player_Ars_12,Midfielder,Optimal,61,162,95.7791972387227,59.829506702901,61.8455107871771,288.290626913746,0.306431608177447,2114,0,0,18.2468096592515,Zone 1 (Rest),37.2092450402466,0.0,73.0860857415908,112,Premier League,Arsenal
Arsenal,Player_Ars_13,Midfielder,At Risk,77,202,70.6811308067769,47.5725997271032,83.9356505401732,431.690366931685,1.35058172909424,1315,1,10,9.65045175254869,Zone 1 (Rest),39.3949830251326,1.61265531512728,39.0389839152215,113,Premier League,Arsenal
